"t","n","value"
33,"cro",0.0219653150863618
33,"dnk",0.0541876938239089
33,"egy",0.0442608161226529
33,"esp",0.0305698410300647
33,"fin",0.0480193852536818
33,"fra",0.099185481862179
33,"gbr",0.0740432575870653
33,"golf57",0.0535382607562343
33,"grc",0.0399844718955495
33,"hun",0.035992958916172
33,"idn",0.110788187602915
33,"irl",0.0464879413242871
33,"ita",0.0252122540400866
33,"jpn",0.0257185870479781
33,"meme",0.028254016438588
33,"mex",0.0317460529570571
33,"mys",0.0551870736665487
33,"nde",0.127469487219745
33,"nld",0.0320042359483991
33,"noan",0.0562561650521871
33,"noap",0.0622201800109265
33,"nor",0.0511137135931816
33,"oeu",0.0612936380683186
33,"osea",0.0827196427837603
33,"pol",0.1238642808671
33,"prt",0.0295554933292799
33,"rcam",0.0461781426836149
33,"rcz",0.0766549778985468
33,"rfa",0.0337022761794155
33,"ris",0.160165204705038
33,"rjan57",0.0714549457847619
33,"rom",0.0308983947942128
33,"rsaf",0.0564134824798298
33,"rsam",0.0796550024396329
33,"rsas",0.0655221825516105
33,"rsl",0.0291797386768141
33,"rus",0.0897565669691665
33,"slo",0.0228001465493157
33,"sui",0.0330281102589768
33,"swe",0.0356637986324986
33,"tha",0.0677389251005502
33,"tur",0.0707950974218522
33,"ukr",0.108392992995089
33,"usa",0.0718600781624856
33,"vnm",0.134646431595527
33,"zaf",0.0749007007497032
34,"arg",0.0763917778718674
34,"aus",0.0638833853296397
34,"aut",0.0455750636663503
34,"bel",0.0338767983247789
34,"bgr",0.0378568557155953
34,"blt",0.0349552481956605
34,"bra",0.355888482272782
34,"can",0.118211671853366
34,"chl",0.0594740540415929
34,"chn",0.108091525360459
34,"cor",0.0567123694677356
34,"cro",0.0204123725246906
34,"dnk",0.051905730198783
34,"egy",0.0422034449460702
34,"esp",0.0288222238074971
34,"fin",0.045876977646757
34,"fra",0.0958854576042251
34,"gbr",0.0713120681512687
34,"golf57",0.051270990347568
34,"grc",0.0380238516460641
34,"hun",0.0341226453774581
34,"idn",0.107225655820394
34,"irl",0.0443801821488491
34,"ita",0.0235858505179972
34,"jpn",0.0240807279027368
34,"meme",0.0265587940103404
34,"mex",0.0299718243139968
34,"mys",0.0528824993905576
34,"nde",0.123529546342584
34,"nld",0.030224165997332
34,"noan",0.0539274029238578
34,"noap",0.059756483942335
34,"nor",0.0489012977924138
34,"oeu",0.0588509047162863
34,"osea",0.0797921528943394
34,"pol",0.120005906636232
34,"prt",0.0278308254006042
34,"rcam",0.0440773926038218
34,"rcz",0.0738646991219405
34,"rfa",0.0318837886085604
34,"ris",0.155485533625905
34,"rjan57",0.0687823160797052
34,"rom",0.029143344147301
34,"rsaf",0.0540811610947699
34,"rsam",0.0767968490626085
34,"rsas",0.0629837797264711
34,"rsl",0.0274635720775581
34,"rus",0.086669868909707
34,"slo",0.0212283161914986
34,"sui",0.0312248754775035
34,"swe",0.0338009322404403
34,"tha",0.0651503691807683
34,"tur",0.068137396575995
34,"ukr",0.104884651728247
34,"usa",0.0691782824663252
34,"vnm",0.130544114636085
34,"zaf",0.0721501119352522
35,"arg",0.0737996044553701
35,"aus",0.0615807384683452
35,"aut",0.0436961919052393
35,"bel",0.0322687014417953
35,"bgr",0.0361566341009981
35,"blt",0.0333221888824509
35,"bra",0.346826914987926
35,"can",0.114651510759593
35,"chl",0.057273468136114
35,"chn",0.10476561108476
35,"cor",0.0545757071254585
35,"cro",0.0191159311007536
35,"dnk",0.0498803251347647
35,"egy",0.0404026146399458
35,"esp",0.0273311230567555
35,"fin",0.0439911176084217
35,"fra",0.0928420720977585
35,"gbr",0.0688374726611014
35,"golf57",0.0492602773426575
35,"grc",0.0363197646461811
35,"hun",0.032508857975087
35,"idn",0.103919783466496
35,"irl",0.0425289678128205
35,"ita",0.0222159539199991
35,"jpn",0.022699376583921
35,"meme",0.025120083926897
35,"mex",0.0284541142388849
35,"mys",0.0508344854566651
35,"nde",0.119846294621725
35,"nld",0.0287006150743204
35,"noan",0.0518552030428507
35,"noap",0.0575493607495131
35,"nor",0.0469454350746258
35,"oeu",0.0566647425888367
35,"osea",0.0771212724126992
35,"pol",0.11640421513684
35,"prt",0.0263626721360893
35,"rcam",0.0422331868113472
35,"rcz",0.0713310189452998
35,"rfa",0.0303218230918316
35,"ris",0.151062609969982
35,"rjan57",0.0663662757076574
35,"rom",0.0276448105577293
35,"rsaf",0.0520054022373869
35,"rsam",0.0741952996318815
35,"rsas",0.0607019556615869
35,"rsl",0.0260039194728322
35,"rus",0.083839792798503
35,"slo",0.0199129884591657
35,"sui",0.029678161548728
35,"swe",0.0321945913981296
35,"tha",0.0628183959716896
35,"tur",0.0657362838872336
35,"ukr",0.10163296562156
35,"usa",0.0667530768251586
35,"vnm",0.126698499622949
35,"zaf",0.0696561185944764
36,"arg",0.0714186419337562
36,"aus",0.0594875842216486
36,"aut",0.0420242977410635
36,"bel",0.0308659751627909
36,"bgr",0.0346623298316278
36,"blt",0.0318946483200863
36,"bra",0.338014953113906
36,"can",0.111308305367569
36,"chl",0.0552817691345472
36,"chn",0.101655262304344
36,"cor",0.0526475523139532
36,"cro",0.0180230106700381
36,"dnk",0.0480627673125589
36,"egy",0.0388082987708457
36,"esp",0.0260446985621209
36,"fin",0.0423122766410032
36,"fra",0.0900125753367033
36,"gbr",0.0665733902651175
36,"golf57",0.0474573243852242
36,"grc",0.0348216179317882
36,"hun",0.0311004749487517
36,"idn",0.100829357663216
36,"irl",0.0408845669326236
36,"ita",0.0210500142565038
36,"jpn",0.0215220501810091
36,"meme",0.0238857391717746
36,"mex",0.0271412383407224
36,"mys",0.0489944529435566
36,"nde",0.116380729120055
36,"nld",0.0273819329924836
36,"noan",0.0499911281212266
36,"noap",0.0555511632580529
36,"nor",0.0451970068791937
36,"oeu",0.0546873817631567
36,"osea",0.0746620699361122
36,"pol",0.113019725813576
36,"prt",0.0250990589390919
36,"rcam",0.0405957528804464
36,"rcz",0.0690082025182492
36,"rfa",0.0289649543989544
36,"ris",0.146861762333358
36,"rjan57",0.0641604009172653
36,"rom",0.0263509973366275
36,"rsaf",0.0501377894611763
36,"rsam",0.0718050167407451
36,"rsas",0.0586295006323061
36,"rsl",0.0247487564859643
36,"rus",0.0812223394855217
36,"slo",0.0188012938063924
36,"sui",0.0283364539287808
36,"swe",0.0307936107380594
36,"tha",0.0606960894230237
36,"tur",0.0635452481874119
36,"ukr",0.0985964044813105
36,"usa",0.0645380911596262
36,"vnm",0.123071534421595
36,"zaf",0.0673727534701196
37,"arg",0.0692125939753849
37,"aus",0.0575663649484885
37,"aut",0.0405199773755909
37,"bel",0.0296280360709507
37,"bgr",0.0333337608279213
37,"blt",0.0306321518394567
37,"bra",0.329444483942605
37,"can",0.10814997634045
37,"chl",0.053460954771866
37,"chn",0.0987273791966339
37,"cor",0.0508896242880642
37,"cro",0.0170916701027338
37,"dnk",0.0464142912996795
37,"egy",0.0373807535564478
37,"esp",0.0249218572183886
37,"fin",0.0408010813903849
37,"fra",0.0873626366746021
37,"gbr",0.0644830124087268
37,"golf57",0.0458233020374869
37,"grc",0.0334892462626991
37,"hun",0.0298569376721295
37,"idn",0.097921191276246
37,"irl",0.0394074552216975
37,"ita",0.0200464104018644
37,"jpn",0.0205071774703308
37,"meme",0.0228144384021821
37,"mex",0.0259922194366298
37,"mys",0.047323734913271
37,"nde",0.113101306739512
37,"nld",0.0262271680143334
37,"noan",0.0482966165860155
37,"noap",0.0537239176823264
37,"nor",0.0436169448155266
37,"oeu",0.0528807571376794
37,"osea",0.0723785920167282
37,"pol",0.109820540254937
37,"prt",0.0239987927347152
37,"rcam",0.0391255359921536
37,"rcz",0.0668596986859786
37,"rfa",0.0277723981438909
37,"ris",0.1428546699655
37,"rjan57",0.0621276280611991
37,"rom",0.0252208437596188
37,"rsaf",0.0484397766976887
37,"rsam",0.069589744903743
37,"rsas",0.0567287662839911
37,"rsl",0.0236568530093154
37,"rus",0.078782249051516
37,"slo",0.017851373380722
37,"sui",0.0271589017887667
37,"swe",0.0295573991933025
37,"tha",0.0587460196526249
37,"tur",0.0615271607974189
37,"ukr",0.0957415451132392
37,"usa",0.062496301750481
37,"vnm",0.119632383262345
37,"zaf",0.0652632925134556
38,"arg",0.0671524962212526
38,"aus",0.0557871906072343
38,"aut",0.0391519858612553
38,"bel",0.0285227734894826
38,"bgr",0.0321391109569271
38,"blt",0.0295026685743697
38,"bra",0.321107227247113
38,"can",0.105150654197267
38,"chl",0.0517808086942169
38,"chn",0.0959553433399994
38,"cor",0.0492715023156837
38,"cro",0.016288802288254
38,"dnk",0.0449041206490496
38,"egy",0.0360884845328022
38,"esp",0.0239301142853684
38,"fin",0.0394263092521213
38,"fra",0.0848647343807196
38,"gbr",0.0625369988093989
38,"golf57",0.0443273868784952
38,"grc",0.0322908458644836
38,"hun",0.0287461536623203
38,"idn",0.0951686018053465
38,"irl",0.0380662993053613
38,"ita",0.0191722700984885
38,"jpn",0.0196219228176564
38,"meme",0.0218735293729812
38,"mex",0.0249746578625138
38,"mys",0.0457916272044603
38,"nde",0.10998255154802
38,"nld",0.0252039391503036
38,"noan",0.0467410416038752
38,"noap",0.0520374285696832
38,"nor",0.0421742500937589
38,"oeu",0.0512146062424333
38,"osea",0.0702421259400354
38,"pol",0.106780921762163
38,"prt",0.0230293154144063
38,"rcam",0.0377911803638708
38,"rcz",0.064856356073216
38,"rfa",0.0267118961573186
38,"ris",0.13901822183471
38,"rjan57",0.0602384296428211
38,"rom",0.0242218888509991
38,"rsaf",0.0468807484924436
38,"rsam",0.067520549739134
38,"rsas",0.0549697959997676
38,"rsl",0.0226956237557786
38,"rus",0.0764913177668183
38,"slo",0.0170301804554158
38,"sui",0.0261131981965477
38,"swe",0.0284538404726033
38,"tha",0.0569383903819048
38,"tur",0.0596524464933986
38,"ukr",0.0930415317712793
38,"usa",0.0605982104045474
38,"vnm",0.116356089325708
38,"zaf",0.0632984574613196
39,"arg",0.0652152576470114
39,"aus",0.0541263025005065
39,"aut",0.037895587239004
39,"bel",0.0275248270292757
39,"bgr",0.0310532322770549
39,"blt",0.0284808957012163
39,"bra",0.312995010979384
39,"can",0.102289480176154
39,"chl",0.0502173368429158
39,"chn",0.0933177557793511
39,"cor",0.0477690449249166
39,"cro",0.0155883281333088
39,"dnk",0.0435078573199622
39,"egy",0.0349065757705773
39,"esp",0.0230438395708488
39,"fin",0.0381632403827257
39,"fra",0.0824968179644289
39,"gbr",0.060711987298018
39,"golf57",0.0429451469863955
39,"grc",0.0312012777094609
39,"hun",0.0277427756530382
39,"idn",0.0925501440770404
39,"irl",0.0368362994441713
39,"ita",0.0184016836470085
39,"jpn",0.0188404029391854
39,"meme",0.0210372610745951
39,"mex",0.0240629847895439
39,"mys",0.0443737839144075
39,"nde",0.10700388864124
39,"nld",0.0242866910410587
39,"noan",0.0453001130469539
39,"noap",0.0504677169369838
39,"nor",0.0408443643025773
39,"oeu",0.0496649017562673
39,"osea",0.0682297621869185
39,"pol",0.103880107346059
39,"prt",0.0221649438670852
39,"rcam",0.0365678700938529
39,"rcz",0.0629749487651928
39,"rfa",0.025757981667245
39,"ris",0.135333548783478
39,"rjan57",0.0584693084598985
39,"rom",0.02332851955932
39,"rsaf",0.0454364229248936
39,"rsam",0.0655743618444616
39,"rsas",0.0533287830631045
39,"rsl",0.0218393660110246
39,"rus",0.0743270032310684
39,"slo",0.0163116794906286
39,"sui",0.0251738412086635
39,"swe",0.0274575701372705
39,"tha",0.0552495105425535
39,"tur",0.0578975736486023
39,"ukr",0.0904747943238272
39,"usa",0.0588203410554882
39,"vnm",0.113222452131003
39,"zaf",0.0614549308777008
40,"arg",0.0633824699299336
40,"aus",0.0525648220328049
40,"aut",0.036731214583069
40,"bel",0.0266141899498011
40,"bgr",0.0300562676843195
40,"blt",0.0275468670254938
40,"bra",0.30509993493671
40,"can",0.0995496182393461
40,"chl",0.0487514948466893
40,"chn",0.0907973999940331
40,"cor",0.046363103914596
40,"cro",0.0149697346810165
40,"dnk",0.0422061723980559
40,"egy",0.0338153335826746
40,"esp",0.022242836299589
40,"fin",0.0369923192073631
40,"fra",0.0802412119986792
40,"gbr",0.0589893785721474
40,"golf57",0.0416572295827791
40,"grc",0.0302006909721213
40,"hun",0.0268268061467626
40,"idn",0.0900485690169388
40,"irl",0.0356978437889021
40,"ita",0.0177142574024599
40,"jpn",0.0181422427956503
40,"meme",0.0202853516345651
40,"mex",0.0232370466635259
40,"mys",0.043050912851932
40,"nde",0.104148681915297
40,"nld",0.0234552796195892
40,"noan",0.0439545780088694
40,"noap",0.0489957490313526
40,"nor",0.0396078455712392
40,"oeu",0.0482125758796244
40,"osea",0.0663232202771194
40,"pol",0.101101328425951
40,"prt",0.0213854440443223
40,"rcam",0.035435981949023
40,"rcz",0.061196973429665
40,"rfa",0.0248905730027935
40,"ris",0.13178521614374
40,"rjan57",0.05680157009997
40,"rom",0.0225205511823668
40,"rsaf",0.0440875528694375
40,"rsam",0.0637327881262898
40,"rsas",0.0517868150564083
40,"rsl",0.0210678319191551
40,"rus",0.0722712835426043
40,"slo",0.0156753882061695
40,"sui",0.0243207243813575
40,"swe",0.0265485785944701
40,"tha",0.0536605491733298
40,"tur",0.0562438236038015
40,"ukr",0.0880239956827478
40,"usa",0.0571440141778236
40,"vnm",0.110215099298129
40,"zaf",0.0597141449677418
41,"arg",0.0616394448878629
41,"aus",0.0510877411343392
41,"aut",0.0356433916095643
41,"bel",0.0257750867976022
41,"bgr",0.0291325435106164
41,"blt",0.0266848346738502
41,"bra",0.297414458741036
41,"can",0.0969174496999787
41,"chl",0.0473681618722123
41,"chn",0.0883803984861709
41,"cor",0.0450384878245165
41,"cro",0.0144169021408444
41,"dnk",0.0409837514988999
41,"egy",0.0327991954599691
41,"esp",0.0215111997532508
41,"fin",0.0358980771632471
41,"fra",0.0780837268295676
41,"gbr",0.057354354541945
41,"golf57",0.0404483040504796
41,"grc",0.0292734162550879
41,"hun",0.0259824759772902
41,"idn",0.0876499769835577
41,"irl",0.0346354254979581
41,"ita",0.0170939527323295
41,"jpn",0.0175114164104531
41,"meme",0.0196018384499603
41,"mex",0.0224809681658213
41,"mys",0.041807724612342
41,"nde",0.1014034486818
41,"nld",0.022693836020602
41,"noan",0.0426891738071264
41,"noap",0.0476064112422818
41,"nor",0.038449302680439
41,"oeu",0.0468424918428582
41,"osea",0.0645078989891295
41,"pol",0.0984310122004483
41,"prt",0.0206748858739146
41,"rcam",0.0343800013442944
41,"rcz",0.0595076772573673
41,"rfa",0.0240938437415952
41,"ris",0.128360558464423
41,"rjan57",0.0552203317777178
41,"rom",0.0217820872140817
41,"rsaf",0.042818879575767
41,"rsam",0.0619811507616879
41,"rsas",0.0503288609035182
41,"rsl",0.0203650820158892
41,"rus",0.0703097333695287
41,"slo",0.0151052076783191
41,"sui",0.0235380044413215
41,"swe",0.0257110884505583
41,"tha",0.0521565306060858
41,"tur",0.0546762970806098
41,"ukr",0.0856751763380923
41,"usa",0.055554357112617
41,"vnm",0.107320727528144
41,"zaf",0.0580613030735986
42,"arg",0.0599744419275257
42,"aus",0.0496831134258022
42,"aut",0.034619870733662
42,"bel",0.0249950775298987
42,"bgr",0.0282696851924201
42,"blt",0.0258823763459868
42,"bra",0.289931440033267
42,"can",0.0943819219788512
42,"chl",0.0460553189985788
42,"chn",0.0860555321815644
42,"cor",0.0437831322989882
42,"cro",0.0139171689554758
42,"dnk",0.0398284511887593
42,"egy",0.0318458583483117
42,"esp",0.0208364067320183
42,"fin",0.0348682716325897
42,"fra",0.0760129425706589
42,"gbr",0.0557950910435817
42,"golf57",0.0393062165131257
42,"grc",0.0284070817422248
42,"hun",0.0251973491464761
42,"idn",0.0853431346575527
42,"irl",0.033636777328516
42,"ita",0.0165281602888429
