"t","n","value"
14,"aus",-0.00416032961283927
14,"aut",-0.000947081187933683
14,"bel",-0.000547312330660153
14,"bgr",-0.00209592960795294
14,"blt",-0.00142374752981359
14,"bra",0.0995644687045749
14,"can",0.0238798968668174
14,"chl",-0.00873225689368191
14,"chn",-0.0663782192440426
14,"cor",-0.00903616948162146
14,"cro",-0.00152936920766028
14,"dnk",0.000115344183937072
14,"egy",0.000580714930907609
14,"esp",-0.00682986133867098
14,"fin",-0.00185661254146074
14,"fra",-0.0128645977833781
14,"gbr",-0.00224208059128888
14,"golf57",0.00514884526565459
14,"grc",-0.000106596175725475
14,"hun",0.000784246065442949
14,"idn",0.274034319538382
14,"irl",-0.000750056920785997
14,"ita",-0.00702169645568848
14,"jpn",-0.0147974540582477
14,"meme",-0.000248464945709691
14,"mex",0.00779128419349991
14,"mys",-0.010790163514799
14,"nde",0.0171487110995197
14,"nld",0.000259676104565958
14,"noan",-0.000232849832770891
14,"noap",-0.000696571900940222
14,"nor",-0.00453410164514957
14,"oeu",-0.00859024442325987
14,"osea",0.036798012888774
14,"pol",-0.0133421017439798
14,"prt",0.000269868044875591
14,"rcam",0.0171254992342281
14,"rcz",-0.00195189677849691
14,"rfa",-0.00443917492829954
14,"ris",-0.00512280402646938
14,"rjan57",0.00906903200166088
14,"rom",-0.013691537887963
14,"rsaf",0.279140441672967
14,"rsam",0.0966910009270599
14,"rsas",0.0134374324586401
14,"rsl",-0.00125332889343181
14,"rus",-0.0223204346743471
14,"slo",-0.00151012849272875
14,"sui",-0.000496895855497662
14,"swe",-0.000789584352565066
14,"tha",0.00732201341204176
14,"tur",-0.0115223648560032
14,"ukr",-0.00292889116966138
14,"usa",-0.0473887899290515
14,"vnm",-6.70094977441318e-05
14,"zaf",0.000800845216942067
15,"arg",0.0173264300938051
15,"aus",-0.00368189170736276
15,"aut",-0.000838166851321309
15,"bel",-0.000484371412634235
15,"bgr",-0.00185489770303835
15,"blt",-0.00126001656388503
15,"bra",0.0881145548035488
15,"can",0.0211337087271334
15,"chl",-0.00772804735090849
15,"chn",-0.0587447240309777
15,"cor",-0.00799700999123499
15,"cro",-0.00135349174877935
15,"dnk",0.000102079602784309
15,"egy",0.000513932713853234
15,"esp",-0.00604442728472382
15,"fin",-0.00164310209919276
