"t","n","value"
13,"bel",-0.002679
13,"bgr",-0.010259216
13,"blt",-0.006969
13,"bra",0.112502224524943
13,"can",0.0269829343127881
13,"chl",-0.0427429
13,"chn",-0.32491
13,"cor",-0.0442305
13,"cro",-0.007486
13,"dnk",0.00013033241122833
13,"egy",0.000656175063172439
13,"esp",-0.033431
13,"fin",-0.0090878
13,"fra",-0.06297
13,"gbr",-0.0109746
13,"golf57",0.00581790425497694
13,"grc",-0.00052177
13,"hun",0.00088615374626322
13,"idn",0.309643298913426
13,"irl",-0.0036714
13,"ita",-0.03437
13,"jpn",-0.072431
13,"meme",-0.0012161933
13,"mex",0.00880371095310724
13,"mys",-0.052816
13,"nde",0.0193770746887228
13,"nld",0.000293419327193172
13,"noan",-0.00113976
13,"noap",-0.0034096
13,"nor",-0.02219365
13,"oeu",-0.042047773311
13,"osea",0.0415796755805356
13,"pol",-0.0653073
13,"prt",0.000304935643927221
13,"rcam",0.0193508465923481
13,"rcz",-0.0095542
13,"rfa",-0.021729
13,"ris",-0.0250752472
13,"rjan57",0.0102474937871874
13,"rom",-0.06701773
13,"rsaf",0.31541292844403
13,"rsam",0.109255368279164
13,"rsas",0.0151835395012883
13,"rsl",-0.00613483
13,"rus",-0.1092547
13,"slo",-0.00739182
13,"sui",-0.00243222
13,"swe",-0.00386488
13,"tha",0.00827346148253306
13,"tur",-0.0564
13,"ukr",-0.01433642
13,"usa",-0.23196
13,"vnm",-0.000327999999999998
13,"zaf",0.000904909849652053
14,"arg",0.0195778871116442
14,"aus",-0.0203641
14,"aut",-0.0046358
14,"bel",-0.002679
14,"bgr",-0.010259216
14,"blt",-0.006969
14,"bra",0.0995644687045749
14,"can",0.0238798968668174
14,"chl",-0.0427429
14,"chn",-0.32491
14,"cor",-0.0442305
14,"cro",-0.007486
14,"dnk",0.000115344183937072
14,"egy",0.000580714930907609
14,"esp",-0.033431
14,"fin",-0.0090878
14,"fra",-0.06297
14,"gbr",-0.0109746
14,"golf57",0.00514884526565459
14,"grc",-0.00052177
14,"hun",0.000784246065442949
14,"idn",0.274034319538382
14,"irl",-0.0036714
14,"ita",-0.03437
14,"jpn",-0.072431
14,"meme",-0.0012161933
14,"mex",0.00779128419349991
14,"mys",-0.052816
14,"nde",0.0171487110995197
14,"nld",0.000259676104565958
14,"noan",-0.00113976
14,"noap",-0.0034096
14,"nor",-0.02219365
14,"oeu",-0.042047773311
14,"osea",0.036798012888774
14,"pol",-0.0653073
14,"prt",0.000269868044875591
14,"rcam",0.0171254992342281
14,"rcz",-0.0095542
14,"rfa",-0.021729
14,"ris",-0.0250752472
14,"rjan57",0.00906903200166088
14,"rom",-0.06701773
14,"rsaf",0.279140441672967
14,"rsam",0.0966910009270599
14,"rsas",0.0134374324586401
14,"rsl",-0.00613483
14,"rus",-0.1092547
14,"slo",-0.00739182
14,"sui",-0.00243222
14,"swe",-0.00386488
14,"tha",0.00732201341204176
14,"tur",-0.0564
14,"ukr",-0.01433642
14,"usa",-0.23196
14,"vnm",-0.000327999999999998
14,"zaf",0.000800845216942067
15,"arg",0.0173264300938051
15,"aus",-0.0203641
15,"aut",-0.0046358
15,"bel",-0.002679
15,"bgr",-0.010259216
15,"blt",-0.006969
15,"bra",0.0881145548035488
15,"can",0.0211337087271334
15,"chl",-0.0427429
15,"chn",-0.32491
15,"cor",-0.0442305
15,"cro",-0.007486
15,"dnk",0.000102079602784309
15,"egy",0.000513932713853234
15,"esp",-0.033431
15,"fin",-0.0090878
15,"fra",-0.06297
15,"gbr",-0.0109746
15,"golf57",0.00455672806010432
15,"grc",-0.00052177
15,"hun",0.00069405776791701
15,"idn",0.242520372791468
15,"irl",-0.0036714
15,"ita",-0.03437
15,"jpn",-0.072431
15,"meme",-0.0012161933
15,"mex",0.00689528651124741
15,"mys",-0.052816
15,"nde",0.0151766093230749
15,"nld",0.000229813352540872
15,"noan",-0.00113976
15,"noap",-0.0034096
15,"nor",-0.02219365
15,"oeu",-0.042047773311
15,"osea",0.032566241406565
15,"pol",-0.0653073
15,"prt",0.000238833219714898
15,"rcam",0.0151560668222919
15,"rcz",-0.0095542
15,"rfa",-0.021729
15,"ris",-0.0250752472
15,"rjan57",0.00802609332146987
15,"rom",-0.06701773
15,"rsaf",0.247039290880576
15,"rsam",0.085571535820448
15,"rsas",0.0118921277258965
15,"rsl",-0.00613483
15,"rus",-0.1092547
15,"slo",-0.00739182
15,"sui",-0.00243222
15,"swe",-0.00386488
15,"tha",0.00647998186965695
15,"tur",-0.0564
15,"ukr",-0.01433642
15,"usa",-0.23196
15,"vnm",-0.000327999999999998
15,"zaf",0.000708748016993729
16,"arg",0.0153338906330175
16,"aus",-0.0203641
16,"aut",-0.0046358
16,"bel",-0.002679
16,"bgr",-0.010259216
16,"blt",-0.006969
16,"bra",0.0779813810011407
16,"can",0.0187033322235131
16,"chl",-0.0427429
16,"chn",-0.32491
16,"cor",-0.0442305
16,"cro",-0.007486
16,"dnk",9.03404484641131e-05
16,"egy",0.000454830451760112
16,"esp",-0.033431
16,"fin",-0.0090878
16,"fra",-0.06297
16,"gbr",-0.0109746
16,"golf57",0.00403270433319232
16,"grc",-0.00052177
16,"hun",0.000614241124606554
16,"idn",0.21463052992045
16,"irl",-0.0036714
16,"ita",-0.03437
16,"jpn",-0.072431
16,"meme",-0.0012161933
16,"mex",0.00610232856245396
16,"mys",-0.052816
16,"nde",0.0134312992509213
16,"nld",0.000203384816998672
16,"noan",-0.00113976
16,"noap",-0.0034096
16,"nor",-0.02219365
16,"oeu",-0.042047773311
16,"osea",0.02882112364481
16,"pol",-0.0653073
16,"prt",0.000211367399447685
16,"rcam",0.0134131191377283
16,"rcz",-0.0095542
16,"rfa",-0.021729
16,"ris",-0.0250752472
16,"rjan57",0.00710309258950084
16,"rom",-0.06701773
16,"rsaf",0.218629772429309
16,"rsam",0.0757308092010965
16,"rsas",0.0105245330374184
16,"rsl",-0.00613483
16,"rus",-0.1092547
16,"slo",-0.00739182
16,"sui",-0.00243222
16,"swe",-0.00386488
16,"tha",0.0057347839546464
16,"tur",-0.0564
16,"ukr",-0.01433642
16,"usa",-0.23196
16,"vnm",-0.000327999999999998
16,"zaf",0.000627241995039451
17,"arg",0.0135704932102205
17,"aus",-0.0203641
17,"aut",-0.0046358
17,"bel",-0.002679
17,"bgr",-0.010259216
17,"blt",-0.006969
17,"bra",0.0690135221860095
17,"can",0.0165524490178091
17,"chl",-0.0427429
17,"chn",-0.32491
17,"cor",-0.0442305
17,"cro",-0.007486
17,"dnk",7.99512968907401e-05
17,"egy",0.000402524949807699
17,"esp",-0.033431
17,"fin",-0.0090878
17,"fra",-0.06297
17,"gbr",-0.0109746
17,"golf57",0.0035689433348752
17,"grc",-0.00052177
17,"hun",0.0005436033952768
17,"idn",0.189948018979598
17,"irl",-0.0036714
17,"ita",-0.03437
17,"jpn",-0.072431
17,"meme",-0.0012161933
17,"mex",0.00540056077777176
17,"mys",-0.052816
17,"nde",0.0118866998370653
17,"nld",0.000179995563043825
17,"noan",-0.00113976
17,"noap",-0.0034096
17,"nor",-0.02219365
17,"oeu",-0.042047773311
17,"osea",0.0255066944256569
17,"pol",-0.0653073
17,"prt",0.000187060148511201
17,"rcam",0.0118706104368895
17,"rcz",-0.0095542
17,"rfa",-0.021729
17,"ris",-0.0250752472
17,"rjan57",0.00628623694170824
17,"rom",-0.06701773
17,"rsaf",0.193487348599939
17,"rsam",0.0670217661429704
17,"rsas",0.0093142117381153
17,"rsl",-0.00613483
17,"rus",-0.1092547
17,"slo",-0.00739182
17,"sui",-0.00243222
17,"swe",-0.00386488
17,"tha",0.00507528379986207
17,"tur",-0.0564
17,"ukr",-0.01433642
17,"usa",-0.23196
17,"vnm",-0.000327999999999998
17,"zaf",0.000555109165609914
18,"arg",0.0120098864910451
18,"aus",-0.0203641
18,"aut",-0.0046358
18,"bel",-0.002679
18,"bgr",-0.010259216
18,"blt",-0.006969
18,"bra",0.0610769671346184
18,"can",0.014648917380761
18,"chl",-0.0427429
18,"chn",-0.32491
18,"cor",-0.0442305
18,"cro",-0.007486
