"","V1","n","V3","value"
"282","COACCH_NoSLR","meme","p67",1.385511
"283","COACCH_NoSLR","meme","p75",1.655662
"284","COACCH_NoSLR","meme","p84",2.022237
"285","COACCH_NoSLR","meme","p95",2.510907
"286","COACCH_NoSLR","meme","p975",2.653428
"287","COACCH_NoSLR","mex","p025",-2.650025
"288","COACCH_NoSLR","mex","p05",-2.17407
"289","COACCH_NoSLR","mex","p16",-0.172902
"290","COACCH_NoSLR","mex","p25",0.218805
"291","COACCH_NoSLR","mex","p33",0.511407
"292","COACCH_NoSLR","mex","p50",1
"293","COACCH_NoSLR","mex","p67",1.21305
"294","COACCH_NoSLR","mex","p75",1.38975
"295","COACCH_NoSLR","mex","p84",1.806769
"296","COACCH_NoSLR","mex","p95",2.150311
"297","COACCH_NoSLR","mex","p975",2.262216
"298","COACCH_NoSLR","mys","p025",-0.53761
"299","COACCH_NoSLR","mys","p05",-0.25306
"300","COACCH_NoSLR","mys","p16",0.390274
"301","COACCH_NoSLR","mys","p25",0.500113
"302","COACCH_NoSLR","mys","p33",0.650534
"303","COACCH_NoSLR","mys","p50",1
"304","COACCH_NoSLR","mys","p67",1.248998
"305","COACCH_NoSLR","mys","p75",1.387464
"306","COACCH_NoSLR","mys","p84",1.696127
"307","COACCH_NoSLR","mys","p95",1.964056
"308","COACCH_NoSLR","mys","p975",2.096894
"309","COACCH_NoSLR","nde","p025",-0.178282
"310","COACCH_NoSLR","nde","p05",-0.092748
"311","COACCH_NoSLR","nde","p16",0.333859
"312","COACCH_NoSLR","nde","p25",0.471709
"313","COACCH_NoSLR","nde","p33",0.615867
"314","COACCH_NoSLR","nde","p50",1
"315","COACCH_NoSLR","nde","p67",1.171651
"316","COACCH_NoSLR","nde","p75",1.299361
"317","COACCH_NoSLR","nde","p84",1.491063
"318","COACCH_NoSLR","nde","p95",1.860795
"319","COACCH_NoSLR","nde","p975",2.006161
"320","COACCH_NoSLR","nld","p025",0.197078
"321","COACCH_NoSLR","nld","p05",0.313185
"322","COACCH_NoSLR","nld","p16",0.591004
"323","COACCH_NoSLR","nld","p25",0.734032
"324","COACCH_NoSLR","nld","p33",0.812784
"325","COACCH_NoSLR","nld","p50",1.000001
"326","COACCH_NoSLR","nld","p67",1.282261
"327","COACCH_NoSLR","nld","p75",1.405976
"328","COACCH_NoSLR","nld","p84",1.593983
"329","COACCH_NoSLR","nld","p95",2.435398
"330","COACCH_NoSLR","nld","p975",2.643728
"331","COACCH_NoSLR","noan","p025",-0.388917
"332","COACCH_NoSLR","noan","p05",-0.176063
"333","COACCH_NoSLR","noan","p16",0.380158
"334","COACCH_NoSLR","noan","p25",0.56864
"335","COACCH_NoSLR","noan","p33",0.743779
"336","COACCH_NoSLR","noan","p50",1
"337","COACCH_NoSLR","noan","p67",1.385511
"338","COACCH_NoSLR","noan","p75",1.655662
"339","COACCH_NoSLR","noan","p84",2.022237
"340","COACCH_NoSLR","noan","p95",2.510907
"341","COACCH_NoSLR","noan","p975",2.653428
"342","COACCH_NoSLR","noap","p025",-0.388917
"343","COACCH_NoSLR","noap","p05",-0.176063
"344","COACCH_NoSLR","noap","p16",0.380158
"345","COACCH_NoSLR","noap","p25",0.56864
"346","COACCH_NoSLR","noap","p33",0.743779
"347","COACCH_NoSLR","noap","p50",1
"348","COACCH_NoSLR","noap","p67",1.385511
"349","COACCH_NoSLR","noap","p75",1.655662
"350","COACCH_NoSLR","noap","p84",2.022237
"351","COACCH_NoSLR","noap","p95",2.510907
"352","COACCH_NoSLR","noap","p975",2.653428
"353","COACCH_NoSLR","nor","p025",0.197078
"354","COACCH_NoSLR","nor","p05",0.313185
"355","COACCH_NoSLR","nor","p16",0.591004
"356","COACCH_NoSLR","nor","p25",0.734032
"357","COACCH_NoSLR","nor","p33",0.812784
"358","COACCH_NoSLR","nor","p50",1.000001
"359","COACCH_NoSLR","nor","p67",1.282261
"360","COACCH_NoSLR","nor","p75",1.405976
"361","COACCH_NoSLR","nor","p84",1.593983
"362","COACCH_NoSLR","nor","p95",2.435398
"363","COACCH_NoSLR","nor","p975",2.643728
"364","COACCH_NoSLR","oeu","p025",0.197078000000049
"365","COACCH_NoSLR","oeu","p05",0.313185000000003
"366","COACCH_NoSLR","oeu","p16",0.591003999999915
"367","COACCH_NoSLR","oeu","p25",0.734031999999914
"368","COACCH_NoSLR","oeu","p33",0.812783999999917
"369","COACCH_NoSLR","oeu","p50",1.000001
"370","COACCH_NoSLR","oeu","p67",1.28226099999994
"371","COACCH_NoSLR","oeu","p75",1.40597599999997
"372","COACCH_NoSLR","oeu","p84",1.59398300000014
"373","COACCH_NoSLR","oeu","p95",2.43539799999984
"374","COACCH_NoSLR","oeu","p975",2.64372799999979
"375","COACCH_NoSLR","osea","p025",-0.653132400263898
"376","COACCH_NoSLR","osea","p05",-0.352148016159714
"377","COACCH_NoSLR","osea","p16",0.381622666194764
"378","COACCH_NoSLR","osea","p25",0.562608266041266
"379","COACCH_NoSLR","osea","p33",0.72625206789411
"380","COACCH_NoSLR","osea","p50",0.999999386955518
"381","COACCH_NoSLR","osea","p67",1.27079633322192
"382","COACCH_NoSLR","osea","p75",1.42497760566708
"383","COACCH_NoSLR","osea","p84",1.61816673157142
"384","COACCH_NoSLR","osea","p95",1.84898979656333
"385","COACCH_NoSLR","osea","p975",1.97699877376288
"386","COACCH_NoSLR","pol","p025",0.197078
